,simpleText,author,isReply
18, @vadka1997 caste system? I think you’re stuck in 1947,@Prakhar-pr6kz,TRUE
19, @Prakhar-pr6kz  probably you are living in rich family not in village,@vadka1997,TRUE
20,And it’s doing absolutely nothing for the lot of you because you’re running away in droves elsewhere.   Stfu.,@TheSublimeLifestyle,TRUE
21,"That's what I was looking for, thank you.",@backfromyourdream,FALSE
22,"If I had a mathemtics teacher like that , I would love to do the class , even on Sunday.",@SDRicky,FALSE
23,Thank you very much for this crash course!,@akshatpratapsingh5476,FALSE
24,Excellent class.  Great course.,@MarioRossibless,FALSE
25,Thank you for your feedback 🙌🏻 Mario,@LunarTech_ai,TRUE
26,"Lovely tutorial, It would be even more interesting if the tutor was actually showing on the side of the video the whole time, So to make things more interactive. 😇",@surkewrasoul4711,FALSE
27,Great video.,@JHillMD,FALSE
28,Thank you for sharing. Great content.,@proudmoroccan8164,FALSE
29,Thank you for your feedback ❤️,@LunarTech_ai,TRUE
30,thank you for sharing!,@chyldstudios,FALSE
31,Best!,@dantedt3931,FALSE
32,"Do we have something similar for Calculus , Statistics for probability....?",@KumR,FALSE
33,"Hi Kum, We do - please check https://academy.lunartech.ai/product/fundamentals-to-statistics",@LunarTech_ai,TRUE
34,"By YouSum Live  00:00:00  Linear algebra fundamentals for AI and data science 00:01:50  Importance of mastering vectors in linear algebra 00:02:20  Applications of vectors in data science and AI 00:05:17  Solving linear systems using matrices and Gaussian elimination 00:10:40  Understanding determinants, inverses, and matrix transformations 00:20:01  Practical applications of matrix inverses in machine learning 00:20:51  Introduction to advanced linear algebra 00:20:59  Explore fundamental linear algebra topics 00:21:01  Understand vector spaces and projections 00:21:07  Dive into matrix factorization techniques 00:21:13  Learn about QR decomposition 00:21:15  Comprehend eigenvalue decomposition 00:21:27  Delve into singular value decomposition (SVD) 00:26:12  Grasp the concept of real numbers and vector spaces 00:30:26  Define norms and their significance 00:32:26  Differentiate between norm and Euclidean distance 00:40:24  Apply norms and Euclidean distance in machine learning 00:42:19  Emphasize the importance of prerequisites in understanding linear algebra 00:43:10  Linear algebra fundamentals for real-world applications 00:43:29  Mastering theory, examples, and must-know concepts 00:44:42  Efficient learning approach for practical application readiness 00:44:47  Foundations of vectors: theory, practice, and representation 00:45:10  Vectors: magnitude, direction, and common notations 00:45:56  Scalers vs. vectors: single numeric volume vs. magnitude-direction 00:50:16  Vector representation in 2D space: magnitude and direction 00:51:57  Pythagorean theorem for vector magnitude calculation 00:56:34  Common ways to represent vectors in different dimensional spaces 01:02:03  Vectors in n-dimensional space: notation and indexing 01:07:30  Understanding Vectors and Matrices 01:07:51  Defining vectors and matrices 01:09:10  Nested vectors and matrices 01:16:18  Special vectors: zero and unit vectors 01:19:00  Sparsity in vectors 01:28:18  Applications of vectors in word counting 01:30:42  Importance of word frequency in document analysis 01:31:20  Utilizing word counts for sentiment analysis 01:32:52  Stop words impact on document understanding 01:35:42  Application of word frequency in various contexts 01:36:35  Role of vectors in customer purchase representation 01:40:33  Vector addition and subtraction fundamentals 01:45:46  Generalization of vector addition and subtraction 01:53:22  Visualization of vector addition in a coordinate space 01:57:19  Introduction to vector addition properties 01:57:49  Commutative property: order of vectors doesn't matter 01:58:14  Associative property: order of addition doesn't affect result 01:58:52  Addition of zero vector has no impact 01:59:13  Subtracting a vector from itself results in zero vector 02:15:26  Scalar multiplication: scaling vector's magnitude 02:21:41  Effect of scalar multiplication by zero on any vector 02:24:31  Understanding scalar vector multiplication 02:25:01  Audio volume adjustment through scalar multiplication 02:26:04  Visualizing scalar multiplication in audio processing 02:32:02  Geometric interpretation of scaling vectors 02:40:30  Dot product's role in linear algebra 02:40:42  Dot product as a measure of vector extension 02:42:34  Dot product's relation to vector length 02:45:52  Applying Pythagorean theorem to vector lengths 02:48:01  Understanding the concept of dot product 02:49:04  Applying Pythagorean theorem to find vector length 02:50:21  Relating dot product to vector length 02:55:42  Generalizing dot product to n-dimensional vectors 02:56:50  Defining dot product for n-dimensional vectors 02:57:02  Explaining the concept of transpose in dot product 03:00:01  Calculating dot product for 3-dimensional vectors 03:06:00  Interpreting dot product as a measure of similarity 03:09:00  Applying cosine rule to understand dot product geometrically 03:13:06  Understanding the dot product concept 03:13:40  Recognizing the dot product as a distance measure 03:14:48  Applying dot product to vector lengths 03:20:38  Utilizing dot product for similarity calculations 03:23:24  Exploring inner product in abstract vector spaces 03:24:26  Understanding Cauchy-Schwarz inequality 03:30:40  Importance of Cauchy-Schwarz inequality in various fields 03:33:01  Significance of norm being zero in vectors 03:37:10  Introduction to matrices and linear systems 03:37:42  Introduction to linear systems in linear algebra 03:38:20  Linear systems enable efficient problem-solving in computing 03:38:30  Representation of general linear systems with M equations 03:39:01  Understanding the linear combination of vectors 03:41:20  Importance of systematic coefficient labeling in matrices 03:43:51  Differentiation between homogeneous and nonhomogeneous systems 03:54:00  Definition and structure of matrices in mathematics 04:04:12  Introduction to matrix dimensions 04:05:03  Understanding matrix structure and indices 04:05:29  Importance of matrix dimensions in mathematics 04:06:30  Significance of dimensions in data science 04:10:10  Matrix operations: addition, subtraction, scalar multiplication 04:11:13  Matrix addition: corresponding elements addition 04:12:16  Matrix subtraction: corresponding elements subtraction 04:13:08  Scalar multiplication of a matrix 04:23:01  Matrix multiplication: product of two matrices 04:29:12  Introduction to matrix multiplication 04:29:24  Matrix C obtained by multiplying matrices A and B 04:30:18  Dimension of matrix C determined by dimensions of A and B 04:31:32  Computing elements of matrix C using dot product 04:37:05  Detailed calculation example of matrix multiplication 04:44:36  Importance of solving linear systems with matrices 04:49:59  Applications of solving linear systems beyond mathematics 04:51:01  Linear systems representation and importance 04:53:44  Transformation of linear systems into matrices and vectors 04:54:11  Linear algebra application in solving systems of equations 04:54:24  Matrix representation compactly expresses linear systems 04:55:02  Understanding dimensions crucial for matrix operations 04:55:32  Introducing column vectors for efficient matrix multiplication 04:56:01  Transitioning linear equations into matrix-vector products 04:57:07  Consolidating equations into coefficient matrix and vector form 04:57:44  Simplifying system of equations using matrix notation 05:00:13  Importance of matrix notation for solving complex equations 05:17:52  Gaussian elimination method for systematic linear system solutions 05:18:51  Introduction to coefficient Matrix 05:19:00  Formation of argumented coefficient Matrix 05:20:29  Understanding dimensions of the new Matrix 05:22:32  Significance of argumented Matrix in solving equations 05:31:06  Transition to row Echelon form explanation 05:33:11  Definition and importance of reduced row Echelon form 05:35:52  Practical application through example problems 05:37:02  Step-by-step transformation into argumented Matrix 05:40:01  Gaussian elimination for row operations 05:44:50  Introduction to Gaussian elimination method 05:45:02  Eliminating elements to reach row echelon form 05:46:00  Using row operations to manipulate the matrix 05:49:19  Achieving zeros in specific positions 05:49:56  Transitioning to reduced row echelon form 05:57:02  Identifying unique solutions in reduced form 06:00:06  Explaining solutions in homogeneous and nonhomogeneous systems 06:01:15  Solving a system with unique solutions 06:09:19  Applying Gaussian elimination to a new system 06:12:30  Indications of infinite solutions in matrix operations 06:14:32  Transition from row echelon to reduced row echelon form 06:18:47  Expressing solutions as linear combinations of unknowns 06:25:00  Sponsorship message from Lunarch promoting tech education 06:26:41  Encouragement for innovation and leveraging AI's potential  By YouSum Live",@ReflectionOcean,FALSE
35,👍,@TeslaElonSpaceXFan,FALSE
36,She si so beautiful I cant really concetrate on topic :P,@beloaded3736,FALSE
37,But u r trash😢,@SDRicky,TRUE
38, @SDRicky  Why you have said that?,@beloaded3736,TRUE
39, @beloaded3736  because her face reminds me the beauty of full moon,@SDRicky,TRUE
40,Great course but too much repetition.,@zebulunkehndo42,FALSE
41,"Hi Zebulun. Thank you for feedback, can you please clarify what you mean by repetition",@LunarTech_ai,TRUE
42," @LunarTech_ai  You repeat previously covered material when all you need to do is say, in the last topic we found that …. eg Euclidean Distance was defined as ..   Now a Dot product of itself is similar because ..   Explain that in effect we are R2 without the square root.  Done.  No need to keep on.  Concise is what you want.  Not ad nauseum…",@pentachronic,TRUE
43,"I would also suggest you use a better whiteboard as some symbols you write aren’t clear (eg = looks like a 2).  Also keep consistent colours.  Red for underlining, Blue for examples, Green for Definitions, etc.   Put double boxes around definitions or derived formulas that are important.",@pentachronic,TRUE
44, @pentachronic  thank you for taking the time for all the comments and suggestion!,@LunarTech_ai,TRUE
45, @LunarTech_ai  You’re welcome.  Great content and subject material BTW. I hope it helps you become more efficient with your time and explanations.,@pentachronic,TRUE
46,Mersi Tatev jan,@armotxa124,FALSE
47,It's a shame that you don't have like 100K likes. Excellent material!,@leandrofahur_,FALSE
48,🙌🏻❤️,@LunarTech_ai,TRUE
49,"I m stupid in the math, but your courses motivated me to learn it ☺️.",@deniscozma2207,FALSE
50,Great to hear you find our courses motivating Denis!,@LunarTech_ai,TRUE
51," @LunarTech_ai  the material is explained quite simply, I hope you add as many courses as possible, they are very well structured and help you understand mathematics better than how they teach in school",@deniscozma2207,TRUE
52, @deniscozma2207  thank you very much and we are definitely working on it Denis👏🏻❤️,@LunarTech_ai,TRUE
53,the first 30 mins are wasting everybodys time coz if they know what you are talking about they don't need to learn,@adenwhw,FALSE
54,"Thanks for your feedback Aden. The first 30 min is intended to provide the RoadMap on what they must learn from Linear Algebra in general, we learned that this works the best for students.   This course doesn’t covers everything from RoadMap but just small portion, yet we want to provide this knowledge to you all.",@LunarTech_ai,TRUE
55," @LunarTech_ai  All that is needed is an Index and a brief description of the topics at hand.  The material will unfold as you discuss it.  You can then have a summary at the END of the coarse, not the BEGINNING.",@pentachronic,TRUE
56,"Make videos on other mathematics topics like probability,statistics and calculas❤",@GuruPrasad-is5pu,FALSE
57,We so have quite a lot of Statistics courses at LunarTech.ai in LunarTech Academy - please check it out!,@LunarTech_ai,TRUE
58,great!!,@igmeMarcial,FALSE
59,"Great content and detailed explanations, thanks. FYI: on 4:44:42 (Matrix Multiplication: Example 2) the result is [20,36] [36,68] ...not 66",@BugMateo,FALSE
60,Thank you for pointing put the type on the slides Mateo❤!,@LunarTech_ai,TRUE
61,"wow, THANK YOU 😀",@victorpineiro1304,FALSE
62,"Thank you for the great course. If you do not mind a suggestion, try to improve your penmanship, which is frankly atrocious. Keep up the goof work!",@okarakoo,FALSE
63,"all love and support ,madam♥",@Singlton,FALSE
64,Thank you 🙌🏻,@LunarTech_ai,TRUE
65,"Amazing course , this took me 20 years back when i was a university student in engineering faculty .  i have a question , i'm 41 years old , and i want to study Data science , do you think it is too late for me ? i just felt in love with this field and i believe i can do it , what do you think ? thank you",@DataEngineeringArabic,FALSE
66,"Thank you 🙏🏻 and of course, it’s never later to start with Data Science - with Data Engineering background and motivation to learn Math and Data Science you can absolutely do it! We would be happy to help as well. Best of luck",@LunarTech_ai,TRUE
67,Old people can't learn?,@ladyville3,TRUE
68, @ladyville3  Ofcourse they can ☺️,@LunarTech_ai,TRUE
69,💖🌹,@camryhsalem5139,FALSE
70,❤❤❤❤❤,@user-vy5hf4ei1x,FALSE
71,Please does LunarTech offer free courses ?,@franklinbethel-je4ym,FALSE
72,Type of girl that I like. :),@marko90000,FALSE
73,grow up,@cliffcarr2027,TRUE
74,I am interested in meeting such professors......but not lucky yet to meet them....leave a contact or email for more communications....,@BablessBah-Ameen,FALSE
75,Hello! I'm thrilled to tell that im really impressed with your Udemy course.  Our offer is to help increase enrollments and generate positive reviews plus more revenue. Let's connect & explore customized strategies to elevate the course even further. I'm eager to discuss on this exciting opportunity,@user-zk9bo3yr4n,FALSE
76,You are such an amazing and patient teacher. Your presentation is wonderful. God bless you.,@solomononuchefaruna5022,FALSE
77,Thank you very much Solomon! We are glad you found Tatev’s explanation so good.,@LunarTech_ai,TRUE
78,"This is video is gold. I wanted to learn machine learning as a beginner and this video literally cleared my mind. After watching this video, I have a clear vision and now I can proceed further on my own. One suggestion, in future please start a series where you teach machine learning from basic to advance. Thanks a lot.",@abhisheksharma10600,FALSE
79,"Thank you @RevoProgramming ! We really appreciate your feedback.   There is already such course where Tatev teaches Machine Learning End-to-End (from basic to advance) it’s called “Fundamentals of Machine Learning” at https://courses.lunartech.ai/courses/machine-learning  It covers everything and in detail, from Basics till Boosting techniques and more.",@LunarTech_ai,TRUE
80,Please make video on genAi  Your explanation is great,@sahilbhoi1443,FALSE
81,Thank you Sahil for your feedback and request. We will definitely take into consideration.,@LunarTech_ai,TRUE
82,Thank you!,@backfromyourdream,FALSE
83,Thank you very much,@mikaznavodya9300,FALSE
84,Thanks for slime and very helpful explanation. Excellent work.,@karenbobo-yi8lw,FALSE
85,Thank you for your feedback 💛,@LunarTech_ai,TRUE
86,What about the rest algorithms,@datawithtess,FALSE
87,"Please check the the end of the video where Tatev provides the next steps, and resources to learn all the other algorithms.  You can check our course - Fundamentals to Machine Learning https://courses.lunartech.ai/courses/machine-learning that covers it all",@LunarTech_ai,TRUE
88,Thank you LunarTech 🎉,@AnnaLi-kz5fm,FALSE
89,Thanks ❤❤,@AmrMoursi-sm3cl,FALSE
90,"Followed instructions and discussion closely, looked up many points and issues on the web; the course was worth the effort and I learned a lot. It’s my second ML tutorial; much deeper and longer than the first. Obviously the instructor is the real deal: an experienced professional data scientist (see LinkedIn and GitHub accounts). Consequently, the course is very broad and detailed at the same time; not the usually 25-minute fluff-piece “Here’s Machine Learning!”
 
 My comments:
 - first half of course is theory; I started with the case study and looked at the earlier material as needed.
 - presentation leans toward the data science side of AI rather than the machine learning side.
 - causal and interpretive analysis is emphasized over predictive analysis.
 - python level is low to moderate.
 - no response to comments for two months.
 - the YouTube transcription bot and I had about equal trouble with the accent; only occasional repeats needed.
 
 A good course for someone like me: background in software engineering, medium Python level, some earlier ML study, videos, and a tutorial. IMHO NOT for beginners in any of those areas.",@jimaustin3608,FALSE
91,Thank you for your detailed feedback Jim! We are glad you found this course helpful and followed it to the end. You observations are valuable for us. ❤️,@LunarTech_ai,TRUE
92,The most beautiful math teacher I've never had during my elementary and  high school times....,@MrCarloshazevedo,FALSE
93,"Wonderfully explained complex topics..With due regards Ma'am.. Please allow me to point out a small correction in the slide content at time stamp 1:07:28 .. The ""Reducible"" error rate should be :- E ( f(x) - f^(x) ) ^2 .. It should be Expectation of that quantity.. You might have missed it by mistake Ma'am .. and please correct me if I am wrong .. I would appreciate it ! 😊",@s-20anandyadav31,FALSE
94,Passing by to thank you for your great quality content for the development community! Real gratitude!,@Ninopssilva,FALSE
95,Thank you very much for your feedback!,@LunarTech_ai,TRUE
96,"Facing self-doubt, this course was a turning point. LunarTech's comprehensive curriculum and supportive community laid the groundwork for my transformation from a hopeful learner to a proficient, and ultimately, a standout software engineer.",@GaelAlvarezcalderon,FALSE
97,"Dear Gael, We at LunarTech are so happy to hear that our course helped you as Software Engineer to get into Machine Learning.  Thank you for your feedback and sharing your story!",@LunarTech_ai,TRUE
98,"Hi, ma'am my name is sumit. . I am 19years old. Currently pursuing my bachelor in science maths honours. Ma'am I also tried to get into data science and started with sql. But it so much complicated that ultimately I had to give up. Now I am thinking to get into java full stack. Please make complete guidance video on java full stack and dsa.",@SumitPal-sb9uy,FALSE
99,simpleText,author,isReply
100,Thank you so much!,@backfromyourdream,FALSE
101,💛,@LunarTech_ai,TRUE
102,"just one advice, plz keep the background white, cant see anything on black background.",@arunmishra3691,FALSE
103,Thank you for suggestion Arun! We have been indeed experimenting with different backgrounds and white backgrounds is winning 🏅 so far. Please check this one the last 2 projects especially https://youtu.be/XSKDrT2xScA?si=J98CK1k1sW17UVTg,@LunarTech_ai,TRUE
104,There are  no code in the github link,@VivaldiB,FALSE
105,"Actually, the link to Python Code in Google Collab is in the github repo. In the Repository in the README file there is a link under caption ""Python Notebook- Google Collab""",@LunarTech_ai,TRUE
106,Thanks for slime and very helpful explanation. Excellent work.,@karenbobo-yi8lw,FALSE
107,Thank you for your feedback 🙏🏻,@LunarTech_ai,TRUE
108,Make more machine learning and deeplearning tutorials mam,@Nanami-fm4rb,FALSE
109,We have got a lot more in store!,@LunarTech_ai,TRUE
110,I love the content.,@Valeria.N817,FALSE
111,"Glad to hear, Valeria, you love our content!",@LunarTech_ai,TRUE
112,"Hi, your content is really helpful Just one question I can't find the github files Can you please update the files",@RinkumoniKhanikar,FALSE
113,Thank you! Please check the GitHub again in next 24hour!,@LunarTech_ai,TRUE
114,Thank you for  motivation  I'm from the Great Moroccan Empire 🇲🇦🦁,@Classicartist169,FALSE
115,"Thanks for that, lovely. If I may make a suggestion? The font in your coding is so small that I left the tutorial less than half way though; I had difficulty reading the script. Is there a way you can enlarge the script for or in the next tutorial? Thanks",@BN-hy1nd,FALSE
116,Thank you very much for your suggestion! We have received this feedback before and have adjusted all the fonts 😌☺️ The existing courses and all the new ones have the large fonts.,@LunarTech_ai,TRUE
117,"I am a Developer in MERN Stack, I haven't learnt it that well to get a job, Can I switch and try in this Field as I have completed graduation in CS. What are your thoughts",@intruder094,FALSE
118,Absolutely! As long as you have motivation and know what exactly you need to learn and how.,@LunarTech_ai,TRUE
119,Passing by to thank you for your great quality content for the development community! Real gratitude!,@Ninopssilva,FALSE
120,Very informative 👏,@RehanKhan-hi8ou,FALSE
121,Glad you liked our content Rehan!,@LunarTech_ai,TRUE
122,Awesome thx❤,@sproutboot,FALSE
123,❤❤❤❤,@chinastickers4323,FALSE
124,good girl..getting u from africa,@mugomuiruri2313,FALSE
125,I am class 11th student can I study from your video,@Gupta_Ji_.,FALSE
126,Ofcourse! This course is for complete beginners. Happy Learning,@LunarTech_ai,TRUE
127,Maximum people watch on mobile...so kindly improve your text of coding more visible...,@Shriramkrishnhari,FALSE
128,"Thank you for your feedback veena, will make sure to improve this for our coming tutorials.",@LunarTech_ai,TRUE
129, @LunarTech_ai  Thanks ♥️,@Shriramkrishnhari,TRUE
130,🙋❤👍🙏🏻,@Shriramkrishnhari,FALSE
131,Machine Learning Fundamentals Handbook: https://join.lunartech.ai/machine-learning-fundamentals,@LunarTech_ai,FALSE
131,I am class 11th student can I study from your video,@Gupta_Ji_.,FALSE
132,Of course! This course is for complete beginners. Happy Learning,@LunarTech_ai,TRUE
133,Can you suggest some resources for learning Python?,@AyeshaCode,FALSE
134,Sure! Check out our GitHub repository for free resources and code samples: github.com/LunarTech-ai/python-resources,@LunarTech_ai,TRUE
135,Is there a course on data structures?,@CodeMaster2000,FALSE
136,Yes, we have a comprehensive course on data structures on our YouTube channel. Visit our playlist for more details: youtube.com/LunarTech-ai/playlists,@LunarTech_ai,TRUE
137,Where can I find more tutorials on machine learning?,@ML_Enthusiast,FALSE
138,You can find more machine learning tutorials on our LunarTech.ai page: lunartech.ai/machine-learning,@LunarTech_ai,TRUE
139,Are there any free courses on web development?,@WebDevKid,FALSE
140,Yes, we offer several free web development courses on our YouTube channel. Check out the latest videos here: youtube.com/LunarTech-ai/webdev,@LunarTech_ai,TRUE
141,What is the best way to get started with AI?,@FutureAI_Fan,FALSE
142,For beginners, we recommend starting with our introductory AI course available on our YouTube channel. Also, explore our GitHub for additional resources: github.com/LunarTech-ai/intro-to-ai,@LunarTech_ai,TRUE
143,Do you have tutorials for advanced data analysis?,@DataGeek_21,FALSE
144,Absolutely! We have advanced data analysis tutorials on our LunarTech.ai page. Check them out here: lunartech.ai/advanced-data-analysis,@LunarTech_ai,TRUE
145,Any recommendations for learning JavaScript?,@JS_Learner,FALSE
146,We have a complete JavaScript course available for free on our YouTube channel. Happy coding!,@LunarTech_ai,TRUE
147,Can I access your course materials offline?,@OfflineLearner,FALSE
148,Yes, you can download our course materials from our GitHub repository: github.com/LunarTech-ai/course-materials,@LunarTech_ai,TRUE
149,Where can I find practice problems for coding?,@PracticeMakesPerfect,FALSE
150,You can find a variety of practice problems and challenges on our GitHub: github.com/LunarTech-ai/practice-problems,@LunarTech_ai,TRUE
151,Do you have any courses on React?,@ReactRookie,FALSE
152,Yes, we have a comprehensive React course on our YouTube channel. Check it out here: youtube.com/LunarTech-ai/react,@LunarTech_ai,TRUE
153,Can you recommend a book for learning AI?,@BookLover,FALSE
154,We recommend "Artificial Intelligence: A Modern Approach" by Stuart Russell and Peter Norvig. Also, check out our GitHub for supplementary resources: github.com/LunarTech-ai/ai-books,@LunarTech_ai,TRUE
155,How do I get started with data science?,@DataStarter,FALSE
156,Start with our introductory data science course on YouTube and explore our GitHub for practice datasets and projects: github.com/LunarTech-ai/data-science,@LunarTech_ai,TRUE
157,Any tips for improving coding skills?,@CodeImprover,FALSE
158,Practice regularly and participate in coding challenges. Check out our GitHub for practice problems: github.com/LunarTech-ai/coding-challenges,@LunarTech_ai,TRUE
159,Can I get a certificate after completing your courses?,@CertificateSeeker,FALSE
160,Yes, we offer certificates for completing our courses. Follow the instructions provided in each course to receive your certificate,@LunarTech_ai,TRUE
161,Where can I find your latest tutorials?,@TutorialHunter,FALSE
162,Our latest tutorials are available on our YouTube channel. Subscribe to stay updated: youtube.com/LunarTech-ai,@LunarTech_ai,TRUE
163,Do you offer any courses on ethical AI?,@EthicsEnthusiast,FALSE
164,Yes, we have a course on ethical AI practices on our YouTube channel. Visit our playlist for more details: youtube.com/LunarTech-ai/ethical-ai,@LunarTech_ai,TRUE
165,Can you help with my AI project?,@ProjectHelper,FALSE
166,We offer guidance through our tutorials and resources on GitHub. Post specific questions in the comments, and we'll try to help: github.com/LunarTech-ai/project-help,@LunarTech_ai,TRUE
167,Any free resources for learning data visualization?,@VizLearner,FALSE
168,Check out our free resources on data visualization on our GitHub: github.com/LunarTech-ai/data-viz,@LunarTech_ai,TRUE
169,Do you have tutorials on using TensorFlow?,@TensorFlowNewbie,FALSE
170,Yes, we have a series of TensorFlow tutorials available on our YouTube channel. Happy learning!,@LunarTech_ai,TRUE
171,Can I collaborate with you on a project?,@Collaborator,FALSE
172,We are open to collaborations. Please contact us through our LunarTech.ai page for more details: lunartech.ai/contact,@LunarTech_ai,TRUE
173,Where can I find your GitHub repository?,@GitHubSeeker,FALSE
174,Our GitHub repository is available here: github.com/LunarTech-ai. Feel free to explore and contribute!,@LunarTech_ai,TRUE
175,Do you have any live coding sessions?,@LiveCoder,FALSE
176,Yes, we occasionally host live coding sessions on our YouTube channel. Subscribe to stay notified: youtube.com/LunarTech-ai,@LunarTech_ai,TRUE
177,What topics are covered in your AI course?,@CuriousLearner,FALSE
178,Our AI course covers basics to advanced topics including machine learning, deep learning, and neural networks. Check out our YouTube channel for the full course,@LunarTech_ai,TRUE
179,Can I request a specific tutorial?,@TutorialRequester,FALSE
180,Yes, please leave your tutorial request in the comments or contact us through our LunarTech.ai page,@LunarTech_ai,TRUE
181,Are your courses updated regularly?,@UpdateChecker,FALSE
182,We strive to keep our courses up-to-date with the latest industry trends and technologies. Subscribe to our YouTube channel for the latest updates,@LunarTech_ai,TRUE
183,How do I set up my development environment for your courses?,@SetupHelper,FALSE
184,We provide setup guides in our tutorials and on our GitHub repository: github.com/LunarTech-ai/setup-guides,@LunarTech_ai,TRUE
185,Do you have a forum for students?,@ForumSeeker,FALSE
186,We are working on setting up a forum for discussions. Meanwhile, you can engage with us in the YouTube comments,@LunarTech_ai,TRUE
187,What software do I need for your data science course?,@SoftwareSeeker,FALSE
188,We recommend using Python with libraries like pandas, NumPy, and Matplotlib. All necessary tools are listed in our course descriptions,@LunarTech_ai,TRUE
189,Can I contribute to your GitHub projects?,@Contributor,FALSE
190,Yes, we welcome contributions! Please check our GitHub for guidelines: github.com/LunarTech-ai/contribute,@LunarTech_ai,TRUE
191,Do you offer internships?,@InternshipSeeker,FALSE
192,Currently, we do not offer internships, but stay tuned for future opportunities,@LunarTech_ai,TRUE
193,Can I get help with my code?,@CodeHelper,FALSE
194,Yes, please post your question in the comments or check out our GitHub for common issues: github.com/LunarTech-ai/code-help,@LunarTech_ai,TRUE
195,How do I access your premium courses?,@PremiumSeeker,FALSE
196,All our current courses are free on YouTube. Stay tuned for future premium content,@LunarTech_ai,TRUE
197,Are there any community events?,@EventSeeker,FALSE
198,We host community events occasionally. Subscribe to our YouTube channel and follow our LunarTech.ai page for updates,@LunarTech_ai,TRUE
199,What are the prerequisites for your machine learning course?,@MLBeginner,FALSE
200,A basic understanding of Python and statistics is recommended. Check out our introductory videos for more details,@LunarTech_ai,TRUE
201,Can you review my project?,@ProjectReviewer,FALSE
202,We provide feedback through our community channels. Post your project details in the comments,@LunarTech_ai,TRUE
203,Do you have a newsletter?,@NewsletterSeeker,FALSE
204,Yes, subscribe to our newsletter on LunarTech.ai for the latest updates,@LunarTech_ai,TRUE
205,Can I download your video lectures?,@Downloader,FALSE
206,YouTube allows downloading videos for offline viewing for premium users. For resources, visit our GitHub,@LunarTech_ai,TRUE
207,What tools do you use for teaching?,@ToolSeeker,FALSE
208,We use Jupyter Notebooks, VSCode, and various Python libraries. Details are provided in each course,@LunarTech_ai,TRUE
209,How do I join your Discord server?,@DiscordFan,FALSE
210,Join our Discord community through the invite link on our LunarTech.ai page,@LunarTech_ai,TRUE
211,Can I get a demo before enrolling?,@DemoSeeker,FALSE
212,We provide demo videos on our YouTube channel. Check out the playlist for introductory lessons,@LunarTech_ai,TRUE
213,What is the duration of your courses?,@DurationChecker,FALSE
214,Our courses vary in length from a few hours to several weeks. Each course description provides detailed information,@LunarTech_ai,TRUE
215,How can I provide feedback on your courses?,@FeedbackGiver,FALSE
216,We welcome feedback! Please leave your comments on our YouTube channel or contact us through our LunarTech.ai page,@LunarTech_ai,TRUE
217,Do you offer one-on-one tutoring?,@TutorSeeker,FALSE
218,Currently, we do not offer one-on-one tutoring, but our tutorials are designed to be comprehensive and easy to follow,@LunarTech_ai,TRUE
219,How often do you release new content?,@ContentWatcher,FALSE
